setting,optimizer_family,trial_index,expert_num,expert_lr,expert_momentum,expert_weight_decay,router_lr,router_momentum,router_weight_decay,ns_steps,mean_val_accuracy,std_val_accuracy,mean_val_loss,std_val_loss,mean_val_runtime_seconds
1,muon,0,4,0.00416983,0.894236,1e-05,0.03298143,0.905662,1e-05,10,88.1875,3.6564903767137142,0.4313301682472229,0.03653708225542573,7.814357977639884
1,muon,1,4,0.00076257,0.91482,0.001,0.00968774,0.950038,0.001,7,90.05,1.6898825772816286,0.412408447265625,0.016860290179632868,17.082013391982763
1,muon,2,8,0.00318428,0.893839,1e-05,0.01694599,0.974545,0.001,10,91.6375,1.6230276491791507,0.39688652753829956,0.0162302797887209,44.214557548705486
1,muon,3,4,0.00098199,0.897436,1e-05,0.04089554,0.897705,0.0,10,93.43125,1.1649839054682258,0.37826316356658934,0.011684604713782994,18.85587761728093
1,muon,4,8,0.00274456,0.917597,0.001,0.04076357,0.98134,0.0,5,91.3875,1.7609700806657675,0.39938652515411377,0.017609707399329457,38.556430087424815
1,muon,5,4,0.00073708,0.985526,0.001,0.01501351,0.924789,0.0,5,91.15625,3.580764583158184,0.40268871784210203,0.03704592451160363,16.816819710657
1,muon,6,8,0.0024462,0.976441,1e-05,0.02931596,0.931323,0.001,10,89.8875,1.2178041201276992,0.41438653469085696,0.012178037647917894,23.37613290892914
1,muon,7,4,0.00446131,0.930646,1e-05,0.02482967,0.868015,1e-05,7,87.25,3.766629793329841,0.4407670319080353,0.03766594152431132,6.212400310020894
1,muon,8,8,0.0005576,0.858049,0.0001,0.06668259,0.955343,0.0,3,89.6375,2.194773621583784,0.41711687445640566,0.022169145549064802,19.903688033018263
1,muon,9,8,0.00115354,0.950598,0.001,0.01640557,0.864365,0.001,3,91.00625,2.422340681035597,0.40341795086860655,0.02450871802506145,17.415990518964826
1,muon,10,8,0.00090362,0.866518,1e-05,0.05024127,0.876504,0.0,10,92.175,0.9918811042660305,0.3915558457374573,0.00994204961420831,12.89476151317358
1,muon,11,8,0.00056214,0.878337,1e-05,0.00594512,0.907961,0.0,7,92.51875,1.4314546796877643,0.3880777657032013,0.014433877934197117,24.774799566250294
1,muon,12,8,0.00112067,0.878751,0.0001,0.01472602,0.894185,0.001,5,91.98125,0.782773514498287,0.3934346675872803,0.007832030002208914,26.401442171726377
1,muon,13,8,0.00163046,0.929455,0.0001,0.00665545,0.965327,0.001,5,93.88125,1.1309564536267522,0.3744490385055542,0.011309562347799793,51.2126599627547
1,muon,14,8,0.0006518,0.972923,0.0,0.03900114,0.948891,0.001,3,91.525,1.1681649605256956,0.3980115294456482,0.011681647569397293,41.53928746525198
1,muon,15,8,0.00092859,0.935165,1e-05,0.07253858,0.968384,0.0001,3,88.51875,1.8700559817823637,0.4280209720134735,0.018664134784432088,33.076153537165375
1,muon,16,8,0.00075184,0.970491,0.0,0.0055841,0.930426,0.001,10,90.2875,1.5778496046835389,0.4102664291858673,0.015624011666029003,26.301708592940123
1,muon,17,8,0.0013476,0.89522,0.0,0.0236949,0.94435,0.0001,3,90.75,2.1458535597752237,0.40577733516693115,0.021477654228876507,35.54098909152672
1,muon,18,4,0.00216334,0.92447,1e-05,0.04695737,0.887673,0.0,3,90.54375,2.0748305653715438,0.40756566524505616,0.020535422696396837,9.70452987961471
1,muon,19,8,0.0014663,0.876777,0.0001,0.01678337,0.884867,0.0001,10,91.00625,1.3614961898587892,0.4032116949558258,0.013593455936663987,12.846775085944682
1,muon,20,8,0.00068435,0.920294,0.001,0.05687232,0.91203,0.001,5,91.7625,1.4747351457126125,0.3956073045730591,0.014798153337991471,21.219859274104238
1,muon,21,4,0.00267856,0.919419,0.001,0.01249434,0.885677,1e-05,7,90.8,1.8751666592599177,0.40512173175811766,0.01862649645487699,9.888375239633024
1,muon,22,8,0.00184089,0.956187,0.001,0.04897663,0.938371,0.001,5,90.225,2.46525860712421,0.41100122928619387,0.024635332231317256,23.053671983163802
1,muon,23,4,0.00089464,0.909297,0.001,0.03314981,0.882052,0.0001,7,92.7,1.1606504103303457,0.3859234690666199,0.011611880941970042,18.38465273519978
1,original,0,8,0.00340359,0.931172,0.0001,0.1289792,0.947922,0.001,,99.76875,0.4625,0.31557456254959104,0.004624766174116077,37.20736752105877
1,original,1,4,0.00115202,0.92368,0.0,0.11923695,0.904618,1e-05,,92.74375,1.1125,0.3852148294448853,0.010673575860665198,9.769669466931372
1,original,2,8,0.00091552,0.877328,1e-05,0.03999447,0.954518,0.0001,,99.99375,0.012499999999999999,0.31333585977554324,0.00014834403991699217,40.83244718806818
1,original,3,8,0.00089783,0.859138,1e-05,0.07235891,0.892977,0.0,,99.33125,1.3375000000000001,0.31998212933540343,0.01339968250029125,31.338364017382265
1,original,4,4,0.00057838,0.884351,0.001,0.09119435,0.982748,0.0001,,93.85,3.491529929701305,0.3744983375072479,0.03469036457448987,15.748665576707571
1,original,5,8,0.00340612,0.976141,0.0001,0.05976029,0.927005,1e-05,,99.9625,0.075,0.3136377096176147,0.0007494833537376578,6.286959195509553
1,original,6,4,0.00082264,0.887136,1e-05,0.07833952,0.910836,1e-05,,94.39375,2.146090194982494,0.36917456388473513,0.020833514269836213,22.159756160154938
1,original,7,4,0.00277093,0.894072,0.0,0.01418772,0.931231,0.0001,,94.63125,3.982844068627342,0.36696966290473937,0.03997362895826075,10.576817639730871
1,original,8,8,0.00063078,0.981933,1e-05,0.05783258,0.886854,0.0,,96.95625,3.7508124119982327,0.3433107674121857,0.03678897263448935,31.85846966439858
1,original,9,4,0.00232532,0.981168,0.0001,0.03077008,0.888811,0.001,,95.94375,3.1817595367972107,0.35385727882385254,0.03184351805330655,19.61595008475706
1,original,10,4,0.00233567,0.970961,0.0,0.13584184,0.961193,1e-05,,93.7375,3.248653567249053,0.3757912278175354,0.032418424218839906,2.0940761773847045
1,original,11,8,0.0013484,0.859997,0.0001,0.04053521,0.906657,1e-05,,99.6875,0.625,0.31639750599861144,0.006271636486053467,49.79480564147234
1,original,12,8,0.00116505,0.8573,0.0001,0.27024269,0.959122,0.0,,98.0875,2.975840217484803,0.33235116600990294,0.029697929320968777,40.27199854152277
1,original,13,8,0.00101788,0.967098,0.0,0.05290247,0.929083,0.001,,96.40625,4.233931019159382,0.34882907271385194,0.04167129943003184,32.368263547960666
1,original,14,8,0.00234243,0.894896,0.0,0.16040316,0.942273,1e-05,,99.80625,0.32858598570237285,0.3151991844177246,0.0032858537756757914,40.591164368670434
1,original,15,8,0.00393436,0.911789,0.001,0.20119172,0.954691,0.001,,99.99375,0.012499999999999999,0.3133359789848328,0.00014773364466390788,15.194336685352027
1,original,16,8,0.00336808,0.925131,0.001,0.02690196,0.871221,0.0001,,95.425,1.6668411367013953,0.35894317626953126,0.01664468728335589,28.004076794162394
1,original,17,8,0.00248778,0.87853,1e-05,0.03375386,0.918403,0.0001,,99.575,0.8499999999999999,0.31753033995628355,0.00846741503439297,21.261001845728607
1,original,18,8,0.00081262,0.89271,0.0,0.01001799,0.940423,0.0001,,99.475,1.05,0.3185471832752228,0.010487532135116022,7.8685278292745355
1,original,19,4,0.00057558,0.927057,0.0001,0.08785013,0.980078,1e-05,,96.60625,2.748906032406346,0.34657104015350343,0.02682431146277297,24.294628083519637
1,original,20,8,0.0025929,0.907187,0.001,0.0131884,0.945116,0.001,,96.475,2.0552334113185293,0.3483282446861267,0.020632162355927245,25.166026140842586
1,original,21,8,0.0007707,0.932127,1e-05,0.02824985,0.928417,0.0,,99.99375,0.012499999999999999,0.3133999705314636,0.00018518141844053686,13.375608775671571
1,original,22,4,0.0012712,0.864176,0.0,0.01193859,0.877061,0.0001,,96.25625,1.6275700829764597,0.3515098035335541,0.016024028029710417,9.541091877035797
1,original,23,4,0.00234539,0.980866,0.0,0.02068562,0.948597,0.001,,99.3125,0.9007375450151948,0.3201540529727936,0.00899534139254493,17.134724008943884
2,muon,0,8,0.00275264,0.85294,0.0001,0.01739433,0.929671,1e-05,10,91.21875,1.7166464400102894,0.40107696056365966,0.01716751482668284,19.528655926231295
2,muon,1,4,0.00116815,0.946885,1e-05,0.02517503,0.984997,0.0001,10,87.38125,1.3926985944561012,0.4394315242767334,0.013992485162076563,21.812116696313023
2,muon,2,4,0.00201705,0.976348,1e-05,0.03636273,0.949932,0.0,7,85.2,1.6716384178404133,0.46096856594085694,0.016627328453339366,8.329763057176024
2,muon,3,4,0.00058697,0.903219,0.001,0.00764587,0.864594,0.0001,3,90.15,3.5943423424877046,0.41092969179153443,0.035261082768998864,25.72496846811846
2,muon,4,8,0.0016131,0.887434,1e-05,0.03379281,0.931153,0.001,3,88.38125,1.4069303909575626,0.4294592678546906,0.014079193675644879,38.2637425545603
2,muon,5,8,0.0036867,0.910662,0.001,0.00805898,0.884545,0.0001,10,89.4375,1.5255634205105995,0.4188993752002716,0.015261463861613664,13.762651016935706
2,muon,6,8,0.00243125,0.986771,0.0,0.01357165,0.919568,1e-05,10,89.01875,0.8595965623477095,0.4230809688568115,0.008598615684441912,18.917982411943377
2,muon,7,4,0.00468817,0.897135,0.001,0.04450444,0.929703,0.0001,7,85.775,1.9216488688103248,0.4555011332035065,0.019223115108690243,5.310193160083145
2,muon,8,4,0.00185024,0.956568,0.0001,0.01748029,0.932515,0.0,3,86.88125,2.3177642783510146,0.4443529486656189,0.02324433965920696,16.538059423398227
2,muon,9,4,0.0012469,0.917397,1e-05,0.00543048,0.885847,0.0001,5,89.71875,2.3070036031614687,0.41562422513961794,0.023216379597871893,25.25442303530872
2,muon,10,4,0.00079759,0.938787,0.001,0.01920163,0.983426,1e-05,7,88.69375,2.4474476501040834,0.42598927617073057,0.024364148919258293,28.321509811095893
2,muon,11,8,0.00108751,0.90103,0.0001,0.03288154,0.963569,0.0001,3,91.00625,1.4928736969348746,0.40316522121429443,0.014914013659538015,40.66327638141811
2,muon,12,4,0.00424248,0.942234,0.001,0.08726555,0.894385,0.0001,3,86.46875,2.154845557110764,0.4484064519405365,0.021498463714185928,5.14417228968814
2,muon,13,8,0.00146677,0.871528,0.001,0.00779912,0.934423,1e-05,10,92.01875,2.117412926190827,0.3930417776107788,0.02112991841229526,42.430839465744796
2,muon,14,8,0.00193369,0.902112,1e-05,0.01113125,0.881871,0.0001,10,89.28125,1.1570098854374582,0.4204480886459351,0.011562686130756951,15.354466668702662
2,muon,15,4,0.00064253,0.861752,0.0001,0.08742069,0.988047,0.0,5,86.9375,3.0688072805244713,0.44372755885124204,0.03060398126669383,22.925821352377532
2,muon,16,4,0.00187798,0.86947,1e-05,0.0326279,0.915068,0.0,10,88.11875,2.373552190283584,0.4311926603317261,0.022728999955007927,13.339998272247612
2,muon,17,8,0.00302625,0.936625,0.0,0.08414639,0.881709,0.001,10,88.80625,0.5857687256929991,0.42519896626472475,0.005857662783499089,11.340507544763387
2,muon,18,4,0.00482397,0.853993,0.001,0.00574878,0.91979,0.0001,5,89.89375,2.221310142686068,0.4142669916152954,0.02214749131869545,14.272621640656144
2,muon,19,8,0.00273322,0.870109,1e-05,0.00600361,0.877671,0.0,10,90.59375,1.1059144971470445,0.4073271691799164,0.010905008916234395,14.15517510632053
2,muon,20,8,0.00113955,0.884957,0.001,0.04207485,0.883594,0.0001,10,90.94375,0.8636315041729313,0.4037334263324738,0.008787199984688947,9.952252720948309
2,muon,21,4,0.00055418,0.891827,0.0001,0.06539509,0.933529,0.0001,10,86.775,1.2663616683238639,0.4449687659740448,0.01215669647525367,23.639168802835048
2,muon,22,4,0.00154919,0.85034,0.001,0.04121383,0.919456,0.0001,10,86.5,0.48492911853177056,0.4478394865989685,0.004685680830407706,18.489158895611762
2,muon,23,8,0.00460278,0.903906,1e-05,0.01143454,0.943687,0.0001,3,90.34375,1.640550593550836,0.40982402563095094,0.016405503346849037,27.343045082502066
2,original,0,8,0.00203377,0.855772,0.0,0.01698561,0.892045,1e-05,,97.08125,1.3399801770921838,0.3424494206905365,0.013529729975443456,29.23071740269661
2,original,1,4,0.00098395,0.875867,0.0001,0.13909528,0.939587,1e-05,,94.425,3.6921898143242853,0.368714314699173,0.03664524959643445,22.049652223754673
2,original,2,8,0.00097145,0.859779,0.0,0.0266678,0.872438,0.001,,99.0,0.4016567253264907,0.32327158451080323,0.00402260727682164,49.7799092233181
2,original,3,8,0.00078367,0.897783,0.001,0.02418384,0.891261,1e-05,,98.83125,0.5564255341013746,0.32485432624816896,0.005528455374405408,49.68535384722054
2,original,4,4,0.00062889,0.941808,1e-05,0.23058394,0.981141,0.0,,93.93125,4.361201454301326,0.37384660840034484,0.0435082354520337,25.378229839913548
2,original,5,4,0.00090353,0.975164,1e-05,0.22586559,0.965148,0.001,,90.8625,3.171072866554788,0.4045532584190369,0.03169036767715785,7.88109321249649
2,original,6,8,0.00077698,0.889589,0.0001,0.0626981,0.972923,0.0,,98.0625,2.1300491484939967,0.33264813423156736,0.021283438601508352,49.48498455174267
2,original,7,8,0.00202169,0.86897,0.0,0.0199134,0.964004,0.0,,99.1625,0.15486889616704833,0.32157023549079894,0.0015467919362949127,49.811766837816684
2,original,8,8,0.00464593,0.853878,1e-05,0.06857275,0.893081,0.001,,96.4375,2.624032559820857,0.3487314522266388,0.02625037396162544,45.899178771022704
2,original,9,8,0.00057988,0.967953,0.0,0.28224655,0.865719,0.001,,93.0,1.4922979343951395,0.3833834111690521,0.01507164370755181,21.49659648137167
2,original,10,4,0.00391378,0.860641,0.0,0.14549246,0.890553,0.001,,90.0875,2.8879058156387303,0.4122528493404388,0.028816483379019757,12.6558255745098
2,original,11,8,0.00370902,0.862061,0.0001,0.01166963,0.919647,0.0,,90.06875,1.3679364020304452,0.4123052656650543,0.013606036033558191,12.344782489910722
2,original,12,4,0.00050373,0.897256,0.0,0.07025557,0.897076,1e-05,,90.48125,4.730783497476924,0.40792210698127745,0.04673696747292873,24.65002573216334
2,original,13,4,0.00178219,0.877748,1e-05,0.01260977,0.952971,1e-05,,91.56875,1.9008016400981982,0.3975826621055603,0.019454614451384602,18.344811145402492
2,original,14,4,0.00054812,0.982512,0.001,0.11682053,0.937584,0.001,,93.6125,4.631228913582225,0.37718611359596255,0.046371572825214855,13.202691029664129
2,original,15,8,0.00460266,0.935619,0.0001,0.14918693,0.906759,0.001,,98.86875,0.22827477959687092,0.32455484867095946,0.002246076078464245,49.451012957189235
2,original,16,8,0.00093884,0.855452,0.001,0.0496455,0.929599,0.001,,97.43125,3.0673049041463094,0.33888513445854185,0.03092106251131899,41.051011541113255
2,original,17,8,0.00060703,0.922578,0.0,0.25153955,0.927134,0.0,,96.0625,3.794269939659012,0.3524808526039124,0.037801766426554015,42.927038305811585
2,original,18,8,0.00193291,0.901409,0.0,0.01386981,0.860049,1e-05,,93.81875,3.271169037974039,0.3748679876327515,0.032553152615479634,25.94061139235273
2,original,19,4,0.00109509,0.972916,1e-05,0.12508064,0.88825,0.0,,89.45625,5.391421136861783,0.41755475997924807,0.05310675539952005,7.797801255155354
2,original,20,8,0.00090699,0.894309,0.0001,0.0310568,0.886544,0.001,,98.6375,1.0706671401514105,0.32680095434188844,0.010527171946741314,49.42204731758684
2,original,21,8,0.00057008,0.863259,0.001,0.0189678,0.973495,1e-05,,97.64375,2.7610997582485135,0.336844676733017,0.027660656828563668,42.54860100373626
2,original,22,4,0.00284853,0.882355,0.0,0.02582982,0.904602,1e-05,,91.38125,1.1042177661131884,0.39921489357948303,0.010923860048251898,23.97391834203154
2,original,23,8,0.00060213,0.943488,0.001,0.03722492,0.94704,0.0001,,99.1,0.2541837425957844,0.3222526729106903,0.0024635885365697037,49.60701213320717
3,muon,0,8,0.00090396,0.859937,0.001,0.01158572,0.916429,1e-05,3,98.31875,1.0557506215958388,0.33009393215179444,0.010568789745814298,47.107727894745764
3,muon,1,8,0.00084305,0.895027,0.0001,0.03181919,0.863228,1e-05,7,97.18125,1.0230545562187776,0.3414575278759003,0.01025110942079644,28.546628484409304
3,muon,2,4,0.00187347,0.935087,0.0001,0.07787825,0.902137,0.001,3,94.81875,1.496532450366513,0.3649838387966156,0.01495621733135284,11.191690221335739
3,muon,3,8,0.00282181,0.958611,0.0,0.02023413,0.924426,0.0,5,97.4125,1.3128570942794955,0.3391365885734558,0.013128535438367134,48.94624277902767
3,muon,4,4,0.00257343,0.891627,0.0,0.02817405,0.878908,0.0,5,92.8125,1.8739580438206187,0.38509600758552553,0.018738171665087563,9.61439780946821
3,muon,5,8,0.00211155,0.858019,0.0,0.06969992,0.893816,0.0,7,97.83125,1.3662505718205573,0.33494911789894105,0.013662457964723906,37.180393969360736
3,muon,6,8,0.00099852,0.961917,1e-05,0.03069336,0.97217,0.0,5,98.61875,0.8782084035125148,0.327074134349823,0.008782059879950796,51.2733533680439
3,muon,7,4,0.00059705,0.893294,0.0001,0.04605615,0.989888,1e-05,5,94.08125,1.4177446878757827,0.3723784565925598,0.014084343860978139,28.12088804775849
3,muon,8,8,0.00091895,0.963182,1e-05,0.01125438,0.898442,1e-05,10,96.575,0.2861380785564899,0.3475017845630646,0.002864032336787761,22.455296156834812
3,muon,9,4,0.00095132,0.911739,1e-05,0.00893225,0.944695,0.0001,3,94.1,1.5839034061457158,0.37214834094047544,0.016159258011877207,20.70370805505663
3,muon,10,4,0.00265098,0.909853,0.0,0.01867836,0.93952,0.0,3,92.11875,1.5025239182788406,0.3921247899532318,0.015085631226182084,9.303798329364508
3,muon,11,8,0.00339433,0.850046,0.001,0.0085765,0.98383,1e-05,10,98.025,0.7594200089542019,0.33301162123680117,0.007594146637919527,52.33469422478229
3,muon,12,4,0.0005556,0.957668,0.001,0.05422004,0.862131,0.0001,7,90.4875,0.6627947457546718,0.409005343914032,0.007361149514502435,4.52598521662876
3,muon,13,8,0.00079349,0.980409,0.0001,0.04722493,0.860892,0.0,5,96.875,0.5321683239352001,0.34452093243598936,0.0053370869971838125,28.20951462974772
3,muon,14,8,0.00084766,0.892322,0.0,0.01736962,0.884568,0.001,10,96.56875,0.4641019553934243,0.34755117297172544,0.004630269338579651,20.71588608874008
3,muon,15,8,0.00065199,0.986418,0.0,0.0082199,0.921698,0.0,7,96.6,1.0557506215958388,0.3472497284412384,0.010532774374107736,33.318124304525554
3,muon,16,8,0.00298185,0.899453,0.001,0.00577833,0.857417,0.0,7,96.48125,0.3940970692608612,0.34844595193862915,0.0038991518244245577,13.449493603687733
3,muon,17,8,0.00055543,0.898081,0.0,0.0444663,0.864002,1e-05,3,97.94375,1.7490399152106277,0.333797824382782,0.01745129248174768,34.77358260648325
3,muon,18,8,0.00085572,0.863943,0.001,0.091026,0.869144,0.0,3,97.55,1.4178824439987963,0.33769411444664,0.014115178860517084,30.949399904441087
3,muon,19,4,0.00122842,0.958272,0.0,0.01590336,0.961421,0.001,7,93.3625,1.023283623928381,0.37960463762283325,0.010240121400219102,23.840592042170464
3,muon,20,4,0.00093476,0.874792,1e-05,0.03548849,0.921689,1e-05,10,91.83125,2.3356610413328385,0.39515324831008913,0.02358848748273488,14.154294678382575
3,muon,21,4,0.00109258,0.907971,0.0,0.03963286,0.908226,0.001,5,91.29375,0.27286099941178843,0.4001989185810089,0.002894632664618264,6.328495828807354
3,muon,22,4,0.00205374,0.933329,0.0,0.00810261,0.941752,0.0,7,92.425,1.4023696463486366,0.388903933763504,0.013915495288561196,15.532001878973096
3,muon,23,8,0.00281794,0.922332,0.0001,0.00710037,0.879926,0.0,5,96.8125,0.8122595798142365,0.34513657689094546,0.008122592294239159,21.43454062845558
3,original,0,4,0.00226778,0.854535,1e-05,0.01924729,0.895778,1e-05,,96.83125,1.5645736240266868,0.34502354860305784,0.015518102740097281,18.14375643339008
3,original,1,8,0.00066056,0.891692,0.0001,0.02961848,0.981782,0.0,,99.3625,1.275,0.31980847716331484,0.01275311707171653,40.96732056727633
3,original,2,4,0.00348252,0.871131,0.0,0.02952058,0.961892,0.0001,,97.10625,2.8223854051139083,0.3421348690986633,0.028130062963868652,17.178195360302926
3,original,3,4,0.00075809,0.977767,1e-05,0.01597894,0.85428,0.001,,97.7875,2.4240333124773676,0.3353542983531952,0.024271559488411063,17.87259503295645
3,original,4,8,0.00076884,0.895504,1e-05,0.01764651,0.965641,0.0,,99.225,1.55,0.3209955871105194,0.015467798709869385,49.76342416349799
3,original,5,4,0.00078354,0.969102,1e-05,0.1068054,0.884072,1e-05,,95.2625,1.3313526955694346,0.3606568336486816,0.013331992361975157,22.25088319191709
3,original,6,4,0.00410777,0.880106,0.0001,0.13545803,0.95872,0.0,,99.025,1.9499999999999997,0.3230116605758667,0.019499945640563964,22.04062193389982
3,original,7,8,0.00131414,0.908119,0.0,0.01294599,0.900513,0.0,,99.2,0.9791976945438545,0.32128666043281556,0.009993617698567226,13.966121230274439
3,original,8,4,0.00099087,0.896654,1e-05,0.02665178,0.97581,0.001,,96.34375,1.0665364503850772,0.3499849021434784,0.011107683675945564,22.706738499179483
3,original,9,4,0.00436735,0.863072,0.0001,0.01929648,0.958763,1e-05,,98.29375,1.9264402080002379,0.33031436800956726,0.019287613095521138,11.879093599785119
3,original,10,4,0.00407879,0.865763,0.001,0.05499406,0.869034,0.001,,95.84375,0.22793228161013088,0.35475912094116213,0.0022889616905846823,27.305144515354186
3,original,11,4,0.00186351,0.986382,0.0001,0.11404661,0.93297,0.0001,,96.29375,1.4107012883668888,0.3503240644931793,0.014106968282705365,27.152133690658957
3,original,12,4,0.00136439,0.958275,0.001,0.20473445,0.930167,0.001,,98.13125,1.8722271162975928,0.3318959951400757,0.018617710240784065,17.153603142127395
3,original,13,4,0.00096788,0.883491,1e-05,0.03123972,0.88094,1e-05,,98.30625,2.077257807784099,0.3301181435585022,0.020673777002872998,13.67693686094135
3,original,14,8,0.00116885,0.96411,0.001,0.01394259,0.912475,0.0001,,99.86875,0.09762812094883319,0.31452189683914183,0.0009322536309412882,5.251148153282702
3,original,15,4,0.00070139,0.899814,0.0001,0.01083589,0.874507,0.001,,95.74375,0.23832094956172023,0.355819445848465,0.0021950757053992645,27.423207042738795
3,original,16,8,0.00123024,0.886788,0.001,0.14813907,0.862023,0.0,,100.0,0.0,0.3132616877555847,0.0,49.64491431415081
3,original,17,4,0.00110341,0.850485,0.0001,0.07734806,0.889776,0.0001,,97.53125,2.477240147825802,0.3381177604198456,0.024987263952186298,17.95297354282811
3,original,18,8,0.00231285,0.860843,0.0001,0.16836032,0.935528,0.001,,99.875,0.23468729194398233,0.3145120024681091,0.002346812413438643,34.245637957938015
3,original,19,8,0.00053105,0.92965,0.0,0.2893693,0.897036,0.001,,100.0,0.0,0.3132633149623871,2.154986128117966e-06,16.12643394684419
3,original,20,8,0.0044244,0.937733,0.0,0.19119167,0.967342,0.0,,99.975,0.023385358667337132,0.3135215103626251,0.00023727512969126883,11.609321024641394
3,original,21,4,0.0020255,0.972636,1e-05,0.08162598,0.985149,0.0,,94.8875,0.7897289883244758,0.36436429619789124,0.007868265966117286,18.770807233452796
3,original,22,4,0.00066988,0.968627,0.001,0.01445849,0.961033,0.001,,96.70625,1.9004111397274013,0.3461509943008423,0.019032263280032127,22.454612870514392
3,original,23,4,0.0011491,0.926497,0.0001,0.16686298,0.962266,0.001,,95.675,2.5984971618225794,0.3566446602344513,0.026201791573374957,19.72020457079634
4,muon,0,4,0.00053088,0.877329,1e-05,0.01670582,0.882769,0.001,5,90.54375,1.214592266976865,0.407265841960907,0.01215223887719416,26.603197232540698
4,muon,1,4,0.00272697,0.98561,0.0,0.00631731,0.951764,1e-05,7,89.25,1.032291141103129,0.42076168656349183,0.010323076954629851,16.10730809783563
4,muon,2,8,0.00278726,0.932143,0.0,0.02552312,0.88447,0.001,5,95.2625,0.7311698674042851,0.36063655018806456,0.007311691013261442,23.040110509470104
4,muon,3,4,0.00059059,0.949562,1e-05,0.00681919,0.947028,0.0001,7,90.14375,1.1392500274303266,0.41103253364562986,0.011504308904106112,22.371082356572153
4,muon,4,4,0.00092306,0.938867,0.0001,0.01728942,0.867768,0.001,3,88.63125,1.3061453307346773,0.42662445902824403,0.012985028755691025,14.124185804463924
4,muon,5,8,0.00066719,0.880688,0.0,0.01620794,0.884347,1e-05,10,93.01875,1.2006833991523327,0.3822820484638214,0.012047208537358509,38.35979025047273
4,muon,6,8,0.00082521,0.855037,0.001,0.07805878,0.904397,1e-05,3,95.96875,2.0130434048971724,0.353357195854187,0.019844506982449574,50.96687024673447
4,muon,7,4,0.00081694,0.933333,1e-05,0.02222828,0.924952,1e-05,5,91.2,1.4590236461414872,0.401142543554306,0.014601147274544257,24.696472793165594
4,muon,8,8,0.00197893,0.884632,0.0001,0.04136362,0.900314,0.001,5,95.7125,0.960427964503325,0.3561395287513733,0.009607436761486945,24.55340825384483
4,muon,9,4,0.00426358,0.851421,1e-05,0.08623876,0.956964,1e-05,10,90.56875,0.2993482503707012,0.4075738966464996,0.002993343095446787,9.285142107494176
4,muon,10,8,0.00058675,0.922551,0.0,0.03971124,0.945514,0.0001,3,96.8,0.7973589216908531,0.34526690244674685,0.007979974035856882,50.656969673279676
4,muon,11,8,0.00101014,0.96124,0.001,0.07310483,0.929994,0.0001,5,95.26875,1.4247532681134654,0.3605740487575531,0.014247515210821035,34.27324572885409
4,muon,12,8,0.00289068,0.924172,0.001,0.0788552,0.879303,1e-05,3,93.4,0.47326987544106375,0.3792646169662476,0.004730621785495386,21.49856797484681
4,muon,13,8,0.00165302,0.953103,0.0,0.01034156,0.876358,0.0001,10,94.40625,0.7836214009328739,0.36916465759277345,0.007812326571478013,16.297257672064006
4,muon,14,4,0.0042308,0.850694,1e-05,0.01049981,0.96443,0.001,10,92.79375,0.6064754735354102,0.38532462120056155,0.006065054094157919,18.912216774001717
4,muon,15,8,0.00067445,0.886454,0.001,0.02907546,0.93464,0.001,7,95.71875,0.1617772388193098,0.3560261845588684,0.0016709524636687606,33.078376937564464
4,muon,16,8,0.00055807,0.978379,0.0,0.03379348,0.854796,1e-05,10,94.50625,0.808016475698361,0.3682243645191193,0.008061691723168216,18.227373117767275
4,muon,17,4,0.00270636,0.963453,0.0001,0.02668787,0.949453,1e-05,7,90.125,1.4697470020381058,0.412001633644104,0.014712415255868765,13.163786418084054
4,muon,18,8,0.00401783,0.859958,0.0001,0.00825957,0.880683,0.0001,5,95.2875,0.5174305508954801,0.36039927005767824,0.0051993599851849655,12.743965195026249
4,muon,19,8,0.00421596,0.927544,0.0,0.00696815,0.981446,0.0001,7,95.4,0.37154659869254625,0.35926156044006347,0.0037154796389406394,48.76641899859533
4,muon,20,4,0.00357407,0.926779,1e-05,0.04936613,0.909721,0.001,10,90.6375,0.6357205557475706,0.406861400604248,0.006434322194497588,6.4230406765826045
4,muon,21,4,0.0009197,0.949199,0.0001,0.04989272,0.922708,0.001,10,88.51875,2.773944055852605,0.42771934270858764,0.027750005010811603,10.495166118629276
4,muon,22,8,0.00152724,0.944391,0.0,0.00892244,0.989388,0.0001,3,96.84375,0.9059266664581631,0.3448240637779236,0.009059238595178376,50.63568982789293
4,muon,23,8,0.00213478,0.925154,0.0001,0.0202672,0.977218,0.0001,7,96.7875,0.738822965939744,0.3453865647315979,0.007388211495430728,51.36336310794577
4,original,0,8,0.00366106,0.960446,0.0,0.02754067,0.989268,0.0,,99.2125,0.3442609838480103,0.3211366593837738,0.0034426026056504832,49.38173026042059
4,original,1,4,0.00147127,0.85015,1e-05,0.09123627,0.899312,0.0001,,94.3125,3.0519588996249607,0.3700272738933563,0.030569738447343026,27.214070237241685
